z_id,z_lat_d,z_long_d,z_land,z_water,z_pop,z_households,z_comm,z_med_inc,z_house_unit,z_comm_miles,z_comm_miles_ph,z_carb_ton_ph,z_pov,z_per_comm
50149,41.150466,-94.070997,82.368,0.046,964,423,241,37250,479,6060700.534999999,25148.135,10.443526903971964,15.4,83.6
50672,42.426286,-93.071694,36.659,0.018,594,214,148,46389,289,3623654.0895,24401.71104040404,10.133551682993959,3.0,78.0
52247,41.518674,-91.72329,79.654,0.018,5645,2011,1411,59954,2161,2.400431337E7,17009.256595217008,7.063610437462317,6.6,61.4
52358,41.6914,-91.318432,77.326,0.257,3733,1537,933,61950,1550,1.9122223141000003E7,20489.925680150016,8.509063996238002,3.7,82.3
52755,41.478372,-91.438042,60.412,0.566,1928,817,482,63958,815,1.19095550905E7,24708.620519709544,10.261005166292465,4.0,84.8
53168,42.575072,-88.135698,35.183,0.77,8643,3273,2160,70176,3709,6.5389567254E7,30262.440011107254,12.56739740087431,5.5,86.8
55336,44.777225,-94.198563,127.657,3.359,8054,3176,2013,55800,3391,5.6764293611999996E7,28191.851806307423,11.70752275713337,8.3,83.8
55950,43.747102,-92.964476,0.666,0.0,169,63,42,47841,79,1032185.7840000001,24430.43275739645,10.145479248363658,12.5,80.0
56019,44.115896,-94.888926,103.487,0.412,914,371,228,61875,433,6137187.606,26858.58908533917,11.153844915953702,7.2,79.5
56075,43.735046,-94.436687,0.058,0.0,171,97,42,45938,81,976323.8940000001,22837.985824561405,9.484167290788657,31.4,89.6
56744,48.243805,-97.12761,102.538,1.927,621,233,155,64375,305,2473980.11,15935.459645732688,6.617683638861048,1.3,76.0
60111,42.009497,-88.805358,20.397,0.075,258,130,64,74271,117,1879312.9515,29136.634906976742,12.09987263636927,8.0,80.1
60482,41.687843,-87.789946,2.441,0.013,11063,4241,2765,54938,4708,2.2779000821E7,8236.102619904184,3.4202917749106776,9.1,78.7
61760,40.879243,-89.021795,73.08,0.051,2544,976,636,55625,1108,1.15586027255E7,18173.903656446542,7.547265504431797,3.4,79.9
63117,38.630765,-90.330852,2.356,0.0,9163,4380,2290,67743,5060,3489361.893,1523.2399401942596,0.6325716517993639,3.2,81.6
63735,36.977711,-89.775684,60.25,0.151,847,325,211,33583,390,4290093.672499999,20260.18263282172,8.413656217658255,13.7,85.6
64072,39.242067,-94.293788,0.87,0.179,239,99,59,37083,116,788672.8914999999,13199.546301255228,5.4815125223951044,11.3,89.9
64076,38.983162,-93.948056,121.079,1.018,9512,3612,2378,53333,3986,4.93659660625E7,20759.447461101765,8.62099110218745,7.2,81.6
65785,37.708475,-93.825054,217.598,11.646,5259,2174,1314,33361,2858,3.9685503555E7,30184.828716486023,12.535166953430437,13.8,82.8
66224,38.863539,-94.626804,6.886,0.071,11917,4048,2979,150000,4010,3.1757480961499996E7,10659.555579927834,4.4267042261130225,3.2,83.0
66606,39.061436,-95.71987,5.72,0.297,11284,5206,2821,42725,5913,3.1019863781E7,10996.052386033321,4.566444745545708,14.2,81.8
66856,38.397806,-95.811788,139.723,5.345,1613,656,403,58056,728,1.11436370225E7,27634.561742095477,11.476091130934698,7.0,84.4
67210,37.63026,-97.246498,13.56,0.045,10339,3350,2584,36915,3797,1.0666957428E7,4126.881682174291,1.7138129677328473,23.4,84.5
67502,38.126736,-97.929949,78.511,0.108,23739,10217,5934,58625,10546,1.84827265242E8,31143.22679843296,12.933170867181017,4.8,85.0
68727,42.515296,-97.202478,71.07,0.021,730,339,182,60417,402,4336249.463,23760.271030136988,9.8671742357396,5.6,69.5
70058,29.868864,-90.064875,12.63,0.581,39887,13400,9971,46683,15204,1.3049525597250001E8,13086.494945470957,5.434564513102823,15.8,84.7
70761,30.978671,-91.031423,62.127,0.13,897,302,224,26250,445,6006727.58,26785.85319955407,11.123639130113881,29.6,79.0
